id,product_name,EAN,miso_artvonbonbonsanderensuesswaren,miso_artvonschokolade,miso_artvonsnackknabberartikel,miso_artvonzucker,miso_artvonspeiseoel,miso_artvonteigwarennudeln,miso_artvonverwendetemei,miso_artvonkraeuterngewuerzen,miso_artvonbearbeitetemgetreideprodukt,miso_artvonsaucedip,miso_artvonsalatsauce,miso_artvontrinkschokolade,miso_artvonerfrischungsgetraenk,miso_artvonkeksgebaeck,miso_artvonkuchen,miso_artvongebaeckpastete,miso_artvonummantelungfuellung,miso_artvonbrot,miso_artvonprodukt,miso_artvondessert,miso_artvonwasser,miso_artvonsportgetraenk,miso_artvonkrustentierenmuschelnschnecken,miso_artvonhonig,miso_artvoneingelegtemgemuesesauerkonserven,miso_artvonoliven,miso_artvonjoghurt,miso_artvonrahm,miso_artvonmilch,cat_5,cat_5_name,cat_4,cat_4_name,cat_3,cat_3_name,cat_2,cat_2_name,cat_1,cat_1_name
271401302500,Datteltomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271401902600,M-Budget Cherrytomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271402502400,Cherrytomaten gemischt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271402502800,Cherrytomaten gemischt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271403002300,Snack Datteltomaten,7613269092322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271403301000,Fleischtomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271413502300,Cherrytomaten am Zweig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271600501000,Aubergine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271605502300,Fingerauberginen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271680301000,Bio Auberginen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271701901000,Peperoni grün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271703301000,Peperoni rot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271703309300,Peperoni rot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271703909200,Peperoni Ramiro rot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271704701000,Peperoni gelb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271708308500,M-Budget Peperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271708513200,Peperoni gemischt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
273800502400,Bohnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190204,Frischgemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
274300301000,Süsskartoffeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190205,Lagergemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
274300302300,Süsskartoffeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190205,Lagergemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
274401201000,Kartoffeln Amandine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190205,Lagergemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
274401202400,Kartoffeln Amandine,7610200388346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190205,Lagergemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
274401204100,Kartoffeln Amandine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190205,Lagergemüse,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
